Drive.left_vel, Drive.right_vel, time, Drive.left_voltage, Drive.right_voltage
1416, 1493, 2360.4580000000005, 5.769354838709678, 5.744379276637341
1431, 1503, 2380.3660000000004, 5.769354838709678, 5.744379276637341
1431, 1500, 2400.207, 5.769354838709678, 5.744379276637341
1435, 1496, 2420.203, 5.769354838709678, 5.744379276637341
1427, 1492, 2440.2239999999997, 5.769354838709678, 5.744379276637341
1413, 1492, 2460.186, 5.769354838709678, 5.744379276637341
1413, 1505, 2480.1820000000002, 5.769354838709678, 5.744379276637341
1430, 1526, 2500.1610000000005, 5.769354838709678, 5.744379276637341
1445, 1534, 2520.1549999999997, 5.794330400782014, 5.769354838709678
1457, 1534, 2540.151, 5.794330400782014, 5.769354838709678
1461, 1533, 2560.1890000000003, 5.794330400782014, 5.769354838709678
1453, 1528, 2580.184, 5.794330400782014, 5.769354838709678
1455, 1535, 2600.1889999999994, 5.794330400782014, 5.769354838709678
1464, 1540, 2620.207, 5.794330400782014, 5.769354838709678
1473, 1555, 2640.8340000000007, 5.794330400782014, 5.769354838709678
1480, 1555, 2660.197000000001, 5.794330400782014, 5.769354838709678
1481, 1549, 2680.1730000000007, 5.769354838709678, 5.769354838709678
1459, 1537, 2700.125000000001, 5.769354838709678, 5.769354838709678
1446, 1540, 2720.358, 5.769354838709678, 5.769354838709678
1449, 1544, 2740.194, 5.769354838709678, 5.769354838709678
1458, 1553, 2760.1819999999993, 5.769354838709678, 5.769354838709678
1467, 1564, 2780.169, 5.769354838709678, 5.769354838709678
1473, 1561, 2800.6400000000003, 5.769354838709678, 5.769354838709678
1474, 1552, 2820.252000000001, 5.769354838709678, 5.769354838709678
1476, 1548, 2840.185000000001, 5.794330400782014, 5.769354838709678
1479, 1548, 2860.1859999999997, 5.794330400782014, 5.769354838709678
1491, 1553, 2880.234000000001, 5.794330400782014, 5.769354838709678
1505, 1567, 2900.1860000000006, 5.794330400782014, 5.769354838709678
1504, 1573, 2920.292000000001, 5.794330400782014, 5.769354838709678
1489, 1565, 2940.1920000000005, 5.794330400782014, 5.769354838709678
