Drive.left_vel, Drive.right_vel, time, Drive.left_voltage, Drive.right_voltage
145, 175, 1881.1990000000005, 1.146871945259042, 1.1515151515151516
146, 180, 1901.0990000000004, 1.1589442815249267, 1.1636363636363636
148, 182, 1920.9569999999997, 1.1710166177908112, 1.1757575757575758
151, 185, 1941.191999999999, 1.183088954056696, 1.187878787878788
155, 187, 1960.8059999999998, 1.1951612903225806, 1.2
158, 190, 1980.936999999999, 1.2072336265884651, 1.2121212121212122
163, 194, 2000.8470000000002, 1.21930596285435, 1.2242424242424241
165, 199, 2020.6839999999993, 1.2313782991202344, 1.2363636363636363
168, 203, 2040.6759999999995, 1.2434506353861192, 1.2484848484848485
168, 209, 2060.6679999999997, 1.2555229716520038, 1.2606060606060605
169, 212, 2080.8339999999994, 1.2675953079178885, 1.272727272727273
171, 216, 2100.6920000000005, 1.2796676441837733, 1.284848484848485
175, 219, 2120.6549999999993, 1.2917399804496579, 1.296969696969697
179, 223, 2140.7950000000005, 1.3038123167155424, 1.309090909090909
187, 226, 2161.021999999999, 1.3158846529814272, 1.3212121212121213
196, 232, 2180.6819999999993, 1.3279569892473118, 1.3333333333333335
204, 236, 2201.067, 1.3400293255131965, 1.3454545454545455
212, 240, 2220.898, 1.352101661779081, 1.3575757575757577
219, 245, 2241.066, 1.3641739980449656, 1.3696969696969696
225, 250, 2260.7859999999996, 1.3762463343108504, 1.3818181818181818
229, 254, 2280.6309999999994, 1.388318670576735, 1.393939393939394
233, 256, 2300.872, 1.4003910068426197, 1.406060606060606
237, 258, 2320.988999999999, 1.4124633431085043, 1.4181818181818182
242, 259, 2340.832000000001, 1.4245356793743889, 1.4303030303030302
245, 261, 2360.676999999999, 1.4366080156402736, 1.4424242424242424
250, 262, 2380.642999999999, 1.4486803519061584, 1.4545454545454546
254, 265, 2400.6950000000006, 1.460752688172043, 1.4666666666666668
257, 270, 2420.731999999999, 1.4728250244379277, 1.478787878787879
257, 273, 2441.0769999999998, 1.4848973607038123, 1.490909090909091
258, 276, 2461.2409999999995, 1.496969696969697, 1.5030303030303032
260, 279, 2480.7290000000003, 1.5090420332355816, 1.5151515151515151
261, 282, 2500.679, 1.5211143695014662, 1.5272727272727273
262, 285, 2520.828, 1.533186705767351, 1.5393939393939395
265, 288, 2540.6770000000006, 1.5452590420332355, 1.5515151515151515
266, 290, 2560.6349999999998, 1.5573313782991203, 1.5636363636363637
265, 292, 2581.213, 1.5694037145650048, 1.5757575757575757
266, 297, 2601.343, 1.5750733137829913, 1.587878787878788
267, 300, 2621.1169999999997, 1.5870967741935484, 1.6
268, 305, 2640.9699999999993, 1.6111436950146627, 1.6242424242424243
271, 310, 2660.947, 1.62316715542522, 1.6363636363636362
274, 316, 2680.9530000000004, 1.6351906158357772, 1.6484848484848484
277, 320, 2700.7209999999995, 1.6472140762463343, 1.6606060606060606
282, 324, 2721.4589999999994, 1.6592375366568914, 1.6727272727272726
286, 328, 2740.6290000000004, 1.6712609970674486, 1.6848484848484848
293, 333, 2760.6850000000004, 1.683284457478006, 1.6969696969696968
299, 337, 2780.6700000000005, 1.695307917888563, 1.709090909090909
306, 340, 2800.9939999999992, 1.7073313782991202, 1.7212121212121212
